
PET,Temperatura máximaC,Temperatura mediaC,Temperatura mínimaC,Punto de rocíoC,MeanDew PointC,Min DewpointC,Max Humedad, Mean Humedad, Min Humedad, Max Presión al nivel del marhPa, Mean Presión al nivel del marhPa, Min Presión al nivel del marhPa, Max VisibilidadKm, Mean VisibilidadKm, Min VisibilidadkM, Max Velocidad del vientoKm/h, Mean Velocidad del vientoKm/h, Max Velocidad de ráfagasKm/h,Precipitaciónmm, CloudCover, Eventos,WindDirDegrees<br />
2014-1-1,25,22,19,19,18,18,94,81,61,1013,1012,1010,10,9,3,23,14,,0.00,4,,179<br />
2014-1-2,26,22,19,19,18,18,94,82,60,1013,1011,1010,10,10,10,29,14,,0.00,4,,174<br />
2014-1-3,26,22,19,19,18,18,94,81,62,1012,1010,1009,10,9,4,19,13,,0.00,6,,201<br />
2014-1-4,25,22,19,20,19,18,94,85,73,1012,1011,1008,10,9,7,16,11,,0.00,6,,182<br />
2014-1-5,26,23,20,20,19,18,94,83,64,1013,1011,1010,10,10,10,26,16,,0.00,4,,169<br />
2014-1-6,26,22,19,20,19,18,94,79,65,1014,1012,1009,10,10,5,24,14,,0.00,6,,179<br />
2014-1-7,27,23,21,20,19,18,88,77,61,1014,1013,1011,10,10,10,23,14,,0.00,8,,167<br />
2014-1-8,28,24,21,21,19,18,88,71,48,1015,1013,1011,10,10,10,26,14,,0.00,6,,170<br />
2014-1-9,27,23,21,21,20,19,94,79,59,1013,1012,1010,10,10,10,21,14,,0.00,4,Lluvia,175<br />
2014-1-10,24,22,21,20,19,19,94,81,67,1013,1011,1009,10,9,5,27,16,,0.00,5,,173<br />
2014-1-11,26,23,20,20,19,19,94,79,61,1013,1012,1010,10,10,10,24,19,,0.00,6,,162<br />
2014-1-12,27,24,21,20,19,18,88,75,58,1014,1012,1011,10,10,10,24,16,,0.00,6,Lluvia,164<br />
2014-1-13,27,23,19,21,19,19,94,78,55,1013,1012,1010,10,10,10,167,18,,0.00,5,,174<br />
2014-1-14,27,24,22,21,20,19,94,78,61,1013,1012,1010,10,10,10,27,14,,0.00,5,,170<br />
2014-1-15,26,23,21,21,20,20,94,80,61,1013,1011,1009,10,10,10,23,16,,0.00,7,,166<br />
