
VET,Temperatura máximaC,Temperatura mediaC,Temperatura mínimaC,Punto de rocíoC,MeanDew PointC,Min DewpointC,Max Humedad, Mean Humedad, Min Humedad, Max Presión al nivel del marhPa, Mean Presión al nivel del marhPa, Min Presión al nivel del marhPa, Max VisibilidadKm, Mean VisibilidadKm, Min VisibilidadkM, Max Velocidad del vientoKm/h, Mean Velocidad del vientoKm/h, Max Velocidad de ráfagasKm/h,Precipitaciónmm, CloudCover, Eventos,WindDirDegrees<br />
2014-1-1,33,27,20,15,11,5,73,33,11,1014,1011,1008,19,16,10,,,,0.00,3,,-1<br />
2014-1-2,32,24,18,17,12,8,82,42,14,1014,1011,1007,19,13,10,,,,0.00,3,,-1<br />
2014-1-3,31,26,20,20,14,10,78,48,19,1014,1012,1009,19,13,10,,,,0.00,4,,-1<br />
2014-1-4,32,25,18,18,12,6,83,45,20,1015,1012,1008,19,14,10,,,,0.00,3,,-1<br />
2014-1-5,32,24,17,16,11,5,83,45,18,1015,1013,1011,,,,,,,0.00,2,,-1<br />
2014-1-6,33,26,18,22,12,5,88,46,17,1014,1012,1009,,,,,,,0.00,4,,-1<br />
2014-1-7,31,24,18,19,13,6,94,52,21,1015,1012,1010,,,,,,,0.00,4,,-1<br />
2014-1-8,31,24,18,18,12,6,94,53,22,1015,1012,1011,,,,,,,0.00,3,,-1<br />
2014-1-9,31,23,17,20,11,5,88,50,20,1017,1014,1011,,,,,,,0.00,3,,-1<br />
2014-1-10,32,24,16,15,8,1,77,40,14,1015,1013,1010,10,10,10,,,,0.00,2,,-1<br />
2014-1-11,32,24,18,14,10,8,77,40,15,1017,1014,1011,19,19,19,,,,0.00,3,,-1<br />
2014-1-12,31,24,17,19,12,9,78,48,24,1018,1015,1013,19,14,10,,,,0.00,2,,-1<br />
2014-1-13,32,24,17,18,12,5,94,47,16,1015,1012,1010,19,14,10,,,,0.00,3,,-1<br />
2014-1-14,32,25,18,17,13,8,77,47,22,1016,1013,1010,19,16,10,,,,0.00,4,,-1<br />
2014-1-15,32,26,18,21,13,7,94,48,14,1016,1013,1010,19,14,10,,,,0.00,3,,-1<br />
2014-1-16,32,26,19,18,11,6,88,41,11,1016,1013,1010,19,19,19,,,,0.00,3,,-1<br />
2014-1-17,31,24,17,18,11,2,79,40,13,1016,1012,1010,19,17,10,,,,0.00,3,,-1<br />
2014-1-18,31,26,20,21,15,10,78,52,29,1017,1014,1011,19,19,19,,,,0.00,4,,-1<br />
2014-1-19,34,26,18,21,12,4,94,44,12,1017,1014,1011,19,19,19,,,,0.00,4,,-1<br />
2014-1-20,31,26,20,21,12,5,78,43,11,1017,1013,1011,19,16,10,,,,0.00,3,,-1<br />
2014-1-21,33,24,17,17,9,1,88,43,6,1016,1012,1008,19,13,10,,,,0.00,2,,-1<br />
2014-1-22,34,26,17,20,9,1,88,41,10,1016,1013,1009,19,16,10,,,,0.00,3,,-1<br />
2014-1-23,33,26,18,16,9,5,68,34,17,1016,1014,1011,10,10,10,,,,0.00,3,,-1<br />
2014-1-24,33,26,18,20,10,1,88,42,10,1015,1013,1010,19,14,10,,,,0.00,2,,-1<br />
2014-1-25,34,26,16,20,11,1,82,46,5,1014,1011,1008,19,14,10,,,,0.00,,,-1<br />
2014-1-26,34,24,16,15,14,13,88,49,30,1013,1012,1010,,,,,,,0.00,2,,-1<br />
2014-1-27,32,25,18,21,14,8,94,55,19,1015,1012,1009,19,10,2,,,,0.51,5,Lluvia,-1<br />
2014-1-28,33,26,18,19,13,8,100,52,16,1014,1012,1011,19,14,10,,,,0.00,3,,-1<br />
2014-1-29,32,24,17,20,11,5,73,41,19,1015,1011,1008,19,14,10,,,,0.00,,,-1<br />
2014-1-30,33,24,15,16,12,8,94,48,15,1015,1012,1010,19,19,19,,,,0.00,2,,-1<br />
2014-1-31,32,28,24,16,11,6,57,37,23,1015,1013,1011,,,,,,,0.00,2,,-1<br />
2014-2-1,32,23,15,18,13,8,88,47,22,1014,1012,1010,,,,,,,0.00,2,,-1<br />
2014-2-2,33,25,17,18,13,9,94,47,14,1015,1013,1009,19,13,10,,,,0.00,2,,-1<br />
2014-2-3,32,26,19,18,13,7,88,46,22,1014,1012,1008,10,10,10,,,,0.00,5,,-1<br />
2014-2-4,33,27,19,18,11,2,83,44,12,1015,1012,1009,19,14,10,,,,0.00,3,,-1<br />
2014-2-5,32,25,18,18,13,8,88,43,20,1015,1013,1011,19,14,10,,,,0.00,3,,-1<br />
2014-2-6,34,26,17,18,13,8,83,42,16,1015,1012,1008,19,16,10,,,,0.00,1,,-1<br />
2014-2-7,28,19,18,18,17,16,88,75,54,1014,1012,1010,19,14,10,,,,0.00,,,-1<br />
2014-2-9,33,28,23,16,11,7,65,30,16,1014,1011,1009,19,14,10,,,,0.00,2,,-1<br />
2014-2-10,34,26,17,19,13,7,88,43,12,1015,1012,1009,19,16,10,,,,0.00,1,,-1<br />
2014-2-11,33,25,17,18,13,8,94,44,24,1015,1012,1008,19,14,10,,,,0.00,3,,-1<br />
2014-2-12,34,26,17,16,12,7,88,44,18,1016,1012,1008,19,16,10,,,,0.00,3,,-1<br />
2014-2-13,33,26,18,18,13,7,83,49,22,1015,1012,1010,10,10,10,,,,0.00,3,,-1<br />
2014-2-14,32,25,18,18,13,9,83,45,21,1015,1013,1011,19,13,10,,,,0.00,3,,-1<br />
2014-2-15,32,25,18,18,15,9,88,62,15,1017,1013,1010,19,14,10,,,,0.00,3,,-1<br />
2014-2-16,34,26,18,18,13,8,88,45,15,1015,1013,1009,19,14,10,,,,0.00,3,,-1<br />
2014-2-17,34,26,17,19,13,7,88,45,19,1015,1012,1008,19,13,10,,,,0.00,2,,-1<br />
2014-2-18,33,24,16,18,14,9,88,52,16,1014,1011,1008,19,14,10,,,,0.00,3,,-1<br />
2014-2-19,32,26,20,19,13,8,78,45,22,1014,1011,1008,19,13,10,,,,0.00,3,,-1<br />
2014-2-20,34,26,18,19,13,7,78,45,20,1014,1011,1008,19,16,10,,,,0.00,4,,-1<br />
2014-2-21,33,26,18,19,13,5,88,52,17,1015,1012,1009,10,10,10,,,,0.00,1,,-1<br />
2014-2-22,33,25,17,19,14,12,83,51,21,1014,1012,1010,19,16,10,,,,0.00,3,,-1<br />
2014-2-23,33,26,18,19,16,14,88,49,25,1015,1012,1009,19,13,10,,,,0.00,4,,-1<br />
