
ART,Temperatura máximaC,Temperatura mediaC,Temperatura mínimaC,Punto de rocíoC,MeanDew PointC,Min DewpointC,Max Humedad, Mean Humedad, Min Humedad, Max Presión al nivel del marhPa, Mean Presión al nivel del marhPa, Min Presión al nivel del marhPa, Max VisibilidadKm, Mean VisibilidadKm, Min VisibilidadkM, Max Velocidad del vientoKm/h, Mean Velocidad del vientoKm/h, Max Velocidad de ráfagasKm/h,Precipitaciónmm, CloudCover, Eventos,WindDirDegrees<br />
2014-1-1,32,28,23,23,21,19,83,64,50,1006,1004,1001,10,10,10,21,13,,0.76,3,,20<br />
2014-1-2,26,22,18,22,17,12,100,72,36,1005,1002,998,10,7,1,40,19,71,115.06,6,Lluvia-Tormenta,187<br />
2014-1-3,24,20,16,11,6,3,52,38,19,1017,1014,1006,10,10,10,35,23,53,0.00,1,,172<br />
2014-1-4,30,23,17,18,12,6,61,44,28,1017,1014,1011,10,10,10,32,16,52,0.00,,,329<br />
2014-1-5,31,27,23,22,18,15,69,57,43,1015,1013,1011,10,10,10,23,14,,0.00,,,57<br />
2014-1-6,33,28,24,22,20,15,83,56,34,1012,1009,1006,10,10,10,24,13,47,0.00,,,13<br />
2014-1-7,30,26,21,22,21,18,83,70,50,1009,1005,1002,10,9,1,55,21,90,18.03,6,Lluvia-Tormenta,326<br />
2014-1-8,27,22,18,20,17,13,83,69,41,1013,1011,1008,10,9,7,27,14,,0.00,3,,117<br />
2014-1-9,31,26,21,24,21,14,83,70,52,1011,1007,1004,10,10,10,27,16,45,0.76,3,Tormenta,29<br />
2014-1-10,31,27,22,23,19,16,74,59,46,1010,1007,1005,10,10,8,26,16,,0.00,4,Lluvia-Tormenta,350<br />
2014-1-11,26,21,17,18,8,1,65,43,11,1023,1017,1010,10,10,10,50,29,69,0.00,1,,144<br />
2014-1-12,23,19,16,17,12,9,73,58,46,1025,1023,1020,10,10,10,32,24,47,0.00,3,,116<br />
2014-1-13,26,23,20,18,16,14,73,64,44,1021,1019,1016,10,10,10,29,21,48,0.00,1,,84<br />
2014-1-14,27,24,22,21,20,18,83,74,54,1017,1014,1011,10,10,10,23,16,,0.00,4,,68<br />
2014-1-15,31,27,23,22,20,18,74,62,41,1041,1012,1009,10,10,10,23,13,,0.00,2,,8<br />
2014-1-16,32,28,24,23,21,16,74,60,44,1012,1010,1008,10,10,10,16,11,,0.00,1,,14<br />
2014-1-17,34,29,25,24,22,18,70,59,38,1012,1010,1008,10,10,10,26,13,45,0.00,2,,360<br />
2014-1-18,35,31,26,26,23,20,70,60,48,1012,1009,1005,10,10,10,24,18,,0.00,1,,349<br />
2014-1-19,28,25,22,23,20,18,88,65,51,1013,1011,1008,10,9,5,48,23,69,0.00,5,Lluvia-Tormenta,140<br />
2014-1-20,32,28,25,25,23,20,74,69,59,1010,1006,1001,10,10,10,50,18,69,0.00,3,Lluvia,53<br />
2014-1-21,28,25,22,23,22,19,100,76,61,1005,1002,999,10,8,1,45,24,71,4.06,5,Lluvia-Tormenta,332<br />
2014-1-22,31,27,23,26,24,22,94,82,64,1006,1004,1002,10,10,10,23,13,,0.00,5,,18<br />
2014-1-23,33,28,24,28,25,7,94,74,15,1003,1000,996,10,9,1,111,16,77,54.10,3,Lluvia-Tormenta,353<br />
2014-1-24,23,20,18,23,15,6,95,68,29,1021,1010,999,10,8,1,53,24,82,7.11,7,Lluvia-Tormenta,185<br />
2014-1-25,22,17,13,11,8,6,67,50,34,1024,1021,1019,10,10,10,34,23,47,0.00,1,,128<br />
2014-1-26,25,22,18,19,14,11,78,61,43,1019,1016,1013,10,10,10,24,16,42,0.00,1,,78<br />
2014-1-27,27,25,23,22,21,19,88,73,59,1031,1013,1009,10,10,10,26,14,,9.91,2,,28<br />
2014-1-28,26,23,22,22,22,20,100,85,63,1012,1009,1007,10,7,1,21,11,,30.99,6,Lluvia,31<br />
2014-1-29,27,24,22,22,22,20,89,81,71,1015,1012,1010,10,10,9,23,10,,0.00,6,,127<br />
2014-1-30,29,26,23,23,22,21,94,77,57,1012,1009,1005,10,10,10,29,14,,0.00,4,,349<br />
2014-1-31,32,28,23,24,22,21,94,71,44,1008,1006,1004,19,10,8,27,19,47,0.00,2,,328<br />
2014-2-1,24,22,21,21,20,18,94,79,61,1011,1008,1006,10,9,3,35,23,47,8.89,6,Lluvia-Tormenta,110<br />
2014-2-2,24,22,21,22,19,18,88,79,69,1009,1006,1004,10,9,6,47,19,64,14.99,6,Lluvia-Tormenta,7<br />
2014-2-3,24,22,20,20,19,18,94,82,71,1009,1008,1005,10,9,3,39,14,50,1.02,7,Lluvia-Tormenta,342<br />
2014-2-4,27,24,21,22,21,20,94,79,64,1010,1008,1006,10,10,10,24,10,,0.00,4,,34<br />
2014-2-5,33,29,22,25,22,19,83,72,52,1008,1005,1003,10,9,6,37,19,60,10.92,2,Lluvia-Tormenta,319<br />
2014-2-6,22,19,16,19,17,14,94,83,76,1014,1012,1010,10,8,5,42,26,55,30.99,7,Lluvia-Tormenta,103<br />
2014-2-7,26,23,20,23,21,19,94,88,78,1011,1007,1005,10,6,0,29,11,,62.99,7,Lluvia-Tormenta,57<br />
2014-2-8,30,26,22,25,23,12,94,85,47,1008,1006,1001,10,9,0,58,11,77,20.07,5,Lluvia-Tormenta,115<br />
2014-2-9,26,23,21,22,21,19,94,81,63,1014,1010,1006,10,8,0,29,16,52,2.03,4,Lluvia-Tormenta,130<br />
2014-2-10,25,24,23,23,22,18,94,84,71,1016,1013,1011,10,9,5,24,16,,2.03,6,Lluvia,68<br />
2014-2-11,25,22,20,23,21,18,94,87,73,1013,1010,1006,10,7,1,34,13,63,24.89,6,Lluvia-Tormenta,333<br />
2014-2-12,27,22,18,22,20,19,100,82,67,1013,1010,1009,10,9,8,37,11,,0.00,4,,120<br />
2014-2-13,26,23,21,20,18,14,88,72,53,1022,1017,1013,10,10,10,45,31,55,0.00,4,,134<br />
2014-2-14,23,20,17,15,12,10,77,57,35,1027,1025,1022,10,10,10,37,29,,0.00,3,,130<br />
2014-2-15,23,21,18,18,14,11,78,61,47,1028,1026,1023,10,10,10,37,23,39,0.00,5,,100<br />
2014-2-16,27,23,20,22,18,15,94,75,51,1025,1022,1018,10,10,10,34,23,55,0.00,5,,95<br />
2014-2-17,27,24,22,21,19,18,83,73,56,1021,1018,1015,10,10,10,29,18,,0.00,5,,70<br />
2014-2-18,27,24,22,22,20,17,88,77,57,1017,1015,1013,10,9,3,27,14,,0.25,6,Lluvia,48<br />
2014-2-19,26,24,23,22,21,20,89,80,70,1013,1012,1009,10,10,9,21,11,,0.00,6,Lluvia,25<br />
2014-2-20,27,24,21,21,19,17,88,73,45,1011,1010,1008,10,9,8,21,13,,0.00,4,,283<br />
2014-2-21,29,26,22,21,20,16,94,74,41,1013,1011,1009,10,9,6,23,8,,0.00,5,,190<br />
2014-2-22,26,23,21,20,18,17,83,72,59,1015,1014,1013,10,10,10,24,16,,0.00,6,,129<br />
2014-2-23,25,22,19,19,17,14,78,67,56,1014,1010,1007,10,10,10,21,13,34,0.00,3,,94<br />
2014-2-24,28,24,20,20,17,12,83,62,25,1017,1012,1009,10,10,7,45,11,60,0.00,3,Lluvia,160<br />
2014-2-25,22,19,16,13,9,7,72,53,29,1020,1019,1018,10,10,10,50,34,,0.00,4,,151<br />
2014-2-26,22,19,15,15,11,10,73,62,42,1021,1019,1018,10,10,8,29,23,47,0.00,4,Lluvia,160<br />
2014-2-27,23,19,15,16,11,8,73,57,31,1020,1017,1016,10,10,10,23,14,,0.00,3,,135<br />
2014-2-28,24,21,17,17,16,14,83,72,53,1016,1014,1012,10,10,10,21,11,,0.00,3,,130<br />
2014-3-1,24,22,20,18,17,15,88,71,53,1015,1014,1013,10,10,10,16,11,,0.00,5,,86<br />
2014-3-2,24,21,19,17,16,14,83,66,47,1018,1016,1015,10,10,10,27,14,40,0.00,1,,105<br />
2014-3-3,24,22,21,19,16,14,78,67,52,1020,1017,1014,10,10,6,39,21,53,0.76,4,,98<br />
2014-3-4,25,22,19,19,17,16,94,77,53,1015,1010,1007,10,7,1,63,21,72,51.05,5,Lluvia,42<br />
2014-3-5,29,23,18,18,17,15,94,68,36,1011,1009,1008,10,9,6,24,16,40,0.00,6,Lluvia,289<br />
2014-3-6,25,22,19,18,15,11,88,63,41,1017,1014,1011,10,10,10,26,19,,0.00,4,,202<br />
2014-3-7,27,22,17,16,12,3,73,52,18,1017,1016,1015,10,10,10,19,8,,0.00,,,204<br />
2014-3-8,26,21,17,15,12,8,73,53,25,1017,1015,1011,10,10,10,32,11,,0.00,,,11<br />
2014-3-9,25,21,18,17,14,12,77,61,41,1012,1010,1009,10,9,8,32,21,47,0.76,7,Lluvia,322<br />
2014-3-10,23,19,15,15,10,3,88,55,23,1014,1013,1011,10,10,9,23,19,,0.00,3,Lluvia,204<br />
2014-3-11,25,20,15,11,10,8,68,50,30,1015,1014,1013,10,10,10,21,10,,0.00,,,308<br />
2014-3-12,27,22,17,19,14,12,77,61,44,1018,1016,1014,10,10,10,23,13,,0.00,,,3<br />
2014-3-13,25,22,20,22,17,14,97,69,53,1019,1016,1014,10,10,10,32,23,,0.00,,,62<br />
2014-3-14,24,22,20,21,20,16,100,87,68,1014,1004,995,10,6,1,37,19,63,56.90,6,Lluvia-Tormenta,56<br />
2014-3-15,27,22,17,17,15,13,88,66,34,1009,1004,996,10,9,5,50,27,80,1.02,2,Lluvia,279<br />
2014-3-16,27,23,18,21,17,13,83,68,45,1009,1005,1001,10,10,10,29,13,,0.00,3,,2<br />
2014-3-17,24,21,18,20,11,3,88,51,15,1017,1009,1004,10,10,10,32,16,52,0.00,1,,237<br />
2014-3-18,19,17,13,11,8,2,68,55,30,1022,1020,1018,10,9,4,32,23,,5.08,3,,136<br />
2014-3-19,21,18,15,15,12,10,94,68,48,1020,1016,1013,10,9,6,24,16,,6.10,5,Lluvia,101<br />
2014-3-20,22,19,17,16,14,12,83,70,51,1014,1008,1002,10,10,10,26,13,,0.00,4,,342<br />
2014-3-21,19,17,13,15,9,1,83,59,20,1020,1010,1002,10,10,7,35,23,55,0.76,4,Lluvia,213<br />
2014-3-22,21,16,11,6,2,-2,58,38,15,1026,1023,1021,10,10,10,24,14,,0.00,,,235<br />
2014-3-23,23,18,13,13,8,6,73,50,29,1022,1019,1015,10,10,10,24,19,,0.00,,,338<br />
2014-3-24,23,19,14,16,13,10,82,66,39,1020,1018,1016,10,10,10,21,11,,0.00,3,,24<br />
2014-3-25,25,21,17,17,16,12,94,76,35,1024,1022,1020,10,9,5,32,18,50,0.00,2,,119<br />
2014-3-26,22,21,19,19,18,18,88,85,76,1024,1022,1020,10,10,10,26,18,,0.00,6,,110<br />
2014-3-27,23,22,20,20,18,17,94,84,64,1020,1016,1013,10,9,2,27,13,,20.07,6,Lluvia-Tormenta,54<br />
2014-3-28,26,23,20,21,19,19,100,84,68,1014,1012,1009,10,10,3,19,10,,0.00,4,Lluvia-Tormenta,25<br />
2014-3-29,26,23,20,21,19,18,88,79,60,1011,1009,1004,10,10,10,19,14,,5.08,6,,30<br />
2014-3-30,23,20,17,21,18,9,94,81,46,1013,1003,1000,10,8,3,37,21,58,11.94,7,Lluvia-Tormenta,341<br />
2014-3-31,21,17,13,14,10,6,68,58,45,1023,1019,1013,10,10,10,32,19,,0.00,1,,138<br />
2014-4-1,23,20,17,17,14,9,83,68,46,1027,1025,1023,10,10,10,40,24,60,0.00,3,,107<br />
2014-4-2,22,21,19,19,17,14,88,76,63,1027,1023,1020,10,10,10,35,24,48,0.00,5,,112<br />
2014-4-3,25,22,20,21,19,18,94,81,66,1021,1018,1015,10,10,8,27,14,37,0.00,6,Lluvia-Tormenta,87<br />
2014-4-4,25,23,22,21,20,19,88,80,69,1018,1016,1014,10,10,9,27,16,40,0.00,6,Lluvia-Tormenta,73<br />
2014-4-5,22,21,21,21,20,19,94,89,74,1017,1015,1013,10,8,1,32,21,29,25.91,6,Lluvia-Tormenta,144<br />
2014-4-6,23,22,21,22,21,20,94,89,78,1016,1014,1013,10,9,6,35,21,,0.00,6,,128<br />
2014-4-7,24,23,22,22,21,12,100,89,41,1013,1008,1002,10,9,2,47,18,74,60.96,8,Lluvia-Tormenta,84<br />
2014-4-8,24,21,18,21,15,5,100,72,23,1006,1004,1000,10,7,1,47,19,74,2.03,6,Lluvia-Tormenta,296<br />
2014-4-9,24,20,16,11,9,5,68,50,23,1012,1009,1006,10,10,10,32,19,53,0.00,4,,284<br />
2014-4-10,24,19,14,16,12,9,77,63,36,1019,1015,1012,10,10,10,26,8,,0.00,5,,188<br />
