
PYST,Temperatura máximaC,Temperatura mediaC,Temperatura mínimaC,Punto de rocíoC,MeanDew PointC,Min DewpointC,Max Humedad, Mean Humedad, Min Humedad, Max Presión al nivel del marhPa, Mean Presión al nivel del marhPa, Min Presión al nivel del marhPa, Max VisibilidadKm, Mean VisibilidadKm, Min VisibilidadkM, Max Velocidad del vientoKm/h, Mean Velocidad del vientoKm/h, Max Velocidad de ráfagasKm/h,Precipitaciónmm, CloudCover, Eventos,WindDirDegrees<br />
2014-1-1,31,27,24,25,23,22,89,77,59,1007,1005,1002,19,12,6,34,14,37,3.05,7,Lluvia-Tormenta,30<br />
2014-1-2,37,30,23,25,23,21,89,61,28,1005,1001,998,19,13,10,37,18,,0.00,5,,11<br />
2014-1-3,32,27,23,24,22,21,94,76,53,1015,1008,1001,19,11,3,29,18,,19.05,7,Lluvia-Tormenta,174<br />
2014-1-4,31,26,21,22,21,17,96,73,34,1016,1014,1012,19,13,10,24,11,,3.05,6,Lluvia,159<br />
2014-1-5,34,28,23,24,23,20,83,69,43,1014,1012,1009,19,12,10,26,10,,0.00,4,Tormenta,92<br />
2014-1-6,36,30,24,25,22,17,84,61,22,1012,1008,1001,19,12,6,24,14,,0.00,5,Lluvia-Tormenta,19<br />
2014-1-7,37,30,24,25,23,19,84,65,41,1011,1008,1004,19,14,9,26,13,,1.02,3,Lluvia-Tormenta,40<br />
2014-1-8,31,26,21,24,22,20,94,76,53,1013,1010,1007,19,11,3,34,13,47,10.92,5,Lluvia-Tormenta,176<br />
2014-1-9,35,28,21,24,23,22,90,71,45,1011,1009,1004,19,12,10,24,10,,0.00,3,,33<br />
2014-1-10,37,31,25,24,22,19,83,59,31,1010,1008,1005,19,14,10,27,16,,0.00,2,,20<br />
2014-1-11,34,29,23,24,22,19,89,73,37,1015,1011,1007,19,11,1,37,13,47,11.94,6,Lluvia-Tormenta,144<br />
2014-1-12,31,26,21,21,20,18,88,70,42,1018,1015,1013,19,12,10,27,16,39,0.00,5,,195<br />
2014-1-13,35,28,21,22,20,16,94,64,24,1016,1013,1009,19,13,10,16,6,,0.00,3,Tormenta,187<br />
2014-1-14,34,28,21,22,21,18,94,68,38,1014,1012,1008,19,13,10,24,10,,0.00,2,Lluvia-Tormenta,24<br />
2014-1-15,33,28,22,24,23,21,100,75,44,1013,1011,1008,19,11,6,23,6,,0.25,4,Lluvia,356<br />
2014-1-16,36,29,22,25,22,18,100,68,27,1012,1010,1007,19,11,9,13,3,,0.00,4,Lluvia-Tormenta,49<br />
2014-1-17,36,30,24,24,22,19,89,61,28,1013,1010,1007,19,12,10,21,8,,0.00,3,,50<br />
2014-1-18,37,30,23,24,22,18,89,59,26,1013,1011,1007,19,13,9,23,10,,0.00,4,,36<br />
2014-1-19,38,31,25,24,22,19,94,60,26,1012,1010,1005,19,12,9,27,8,47,2.03,2,Lluvia-Tormenta,33<br />
2014-1-20,36,30,24,24,23,20,94,69,30,1011,1008,1004,19,13,10,34,8,,0.00,4,Lluvia-Tormenta,37<br />
2014-1-21,38,31,24,24,22,20,89,60,26,1008,1006,1003,19,14,10,27,11,,0.00,4,,24<br />
2014-1-22,38,32,26,24,22,19,83,57,27,1010,1007,1004,19,14,10,27,14,,0.00,3,,25<br />
2014-1-23,37,32,26,24,23,19,79,57,28,1008,1006,1003,19,13,10,29,18,,0.00,4,,18<br />
2014-1-24,38,32,26,23,22,19,79,54,25,1009,1006,1004,19,12,10,23,19,,0.51,3,Tormenta,14<br />
2014-1-25,33,28,23,24,22,2,100,82,21,1012,1010,1008,19,11,7,34,19,40,5.08,6,Lluvia-Tormenta,163<br />
2014-1-26,33,28,22,24,22,20,100,75,36,1012,1011,1008,19,12,7,19,11,,5.08,5,Lluvia-Tormenta,130<br />
2014-1-27,34,28,22,25,22,18,100,76,35,1014,1012,1008,19,11,1,29,10,,0.25,5,Niebla-Lluvia-Tormenta,36<br />
2014-1-28,38,31,24,23,21,17,89,56,21,1013,1011,1008,19,14,10,26,10,,0.00,3,,19<br />
2014-1-29,38,31,24,22,21,18,69,49,26,1014,1011,1009,19,15,9,14,10,,0.00,1,Tormenta,150<br />
2014-1-30,38,31,24,23,21,17,83,60,21,1013,1012,1008,19,12,8,29,5,,0.25,2,Lluvia-Tormenta,13<br />
2014-1-31,39,32,25,22,19,14,83,46,17,1012,1010,1007,19,13,10,26,14,,0.00,4,,11<br />
2014-2-1,39,32,25,22,21,17,83,49,25,1012,1009,1005,19,14,10,34,16,,0.00,3,,16<br />
2014-2-2,40,32,24,21,18,11,70,44,11,1008,1006,1003,19,13,9,42,14,55,0.00,3,,25<br />
2014-2-3,40,33,26,23,19,16,74,46,17,1009,1006,1004,19,13,9,27,16,,0.00,4,,23<br />
2014-2-4,39,33,26,22,20,16,62,45,18,1009,1008,1005,19,14,10,32,16,,0.00,3,,13<br />
2014-2-5,39,32,26,23,19,12,79,47,16,1012,1009,1006,19,13,9,32,18,,0.00,2,,18<br />
2014-2-6,40,33,26,21,19,15,70,44,15,1011,1009,1006,19,12,8,27,11,,0.25,4,Lluvia,33<br />
2014-2-7,41,33,25,21,19,16,74,47,18,1011,1009,1006,19,13,4,24,8,,0.00,3,Tormenta,21<br />
2014-2-8,40,32,25,22,19,13,83,47,13,1012,1009,1004,19,12,8,29,13,,0.00,3,,19<br />
2014-2-9,40,33,26,21,19,16,70,45,16,1012,1009,1007,19,13,10,23,11,,0.00,6,Tormenta,16<br />
2014-2-10,37,31,24,21,19,17,74,50,21,1013,1011,1008,19,12,3,21,10,,0.00,4,,38<br />
2014-2-11,39,31,23,22,21,18,89,55,20,1012,1010,1006,19,10,6,27,6,42,0.00,4,,354<br />
2014-2-12,38,30,22,24,21,19,100,62,31,1010,1008,1004,19,9,1,47,8,84,29.97,1,Lluvia-Tormenta,7<br />
