
CST,Temperatura máximaC,Temperatura mediaC,Temperatura mínimaC,Punto de rocíoC,MeanDew PointC,Min DewpointC,Max Humedad, Mean Humedad, Min Humedad, Max Presión al nivel del marhPa, Mean Presión al nivel del marhPa, Min Presión al nivel del marhPa, Max VisibilidadKm, Mean VisibilidadKm, Min VisibilidadkM, Max Velocidad del vientoKm/h, Mean Velocidad del vientoKm/h, Max Velocidad de ráfagasKm/h,Precipitaciónmm, CloudCover, Eventos,WindDirDegrees<br />
2014-1-1,20,13,7,7,6,2,100,69,32,1028,1023,1010,16,7,0,19,8,,0.00,4,Niebla,91<br />
2014-1-2,17,12,8,8,4,2,76,61,37,1029,1023,1010,19,11,8,23,8,,0.00,5,,15<br />
2014-1-3,17,12,7,5,2,0,71,55,32,1030,1024,1012,19,14,8,14,10,,0.00,5,,10<br />
2014-1-4,20,13,6,4,2,-5,81,50,18,1028,1023,1009,16,10,6,16,6,,0.00,1,,75<br />
2014-1-5,21,13,6,4,2,-2,66,49,21,1027,1022,1009,16,11,8,24,8,,0.00,3,,83<br />
2014-1-6,20,13,7,7,3,1,93,59,30,1030,1025,1010,19,13,2,26,10,32,0.00,3,,52<br />
2014-1-7,17,10,4,4,2,0,76,59,39,1031,1026,1016,16,11,6,13,8,,0.00,4,,65<br />
2014-1-8,19,13,7,5,3,1,76,56,30,1031,1025,1012,16,9,6,29,6,,0.00,2,,87<br />
2014-1-9,21,13,5,5,2,-4,81,53,20,1030,1024,1010,24,12,6,16,6,,0.00,1,,93<br />
2014-1-10,20,14,8,6,3,1,66,49,30,1027,1022,1007,24,16,8,26,6,,0.00,3,,108<br />
2014-1-11,21,14,8,6,4,3,76,55,33,1030,1024,1010,24,14,8,34,8,,0.00,2,,17<br />
2014-1-12,23,14,7,5,2,-4,81,47,16,1029,1024,1008,24,17,11,27,8,37,0.00,1,,102<br />
2014-1-13,21,13,7,7,3,1,66,50,27,1030,1025,1012,24,15,10,26,8,,0.00,2,Lluvia,45<br />
2014-1-14,20,13,7,6,4,3,81,58,35,1029,1024,1010,19,13,8,26,10,,0.00,4,,64<br />
2014-1-15,13,10,7,4,-1,-5,54,44,29,1031,1026,1013,24,18,13,29,14,,0.00,5,,353<br />
2014-1-16,17,9,1,2,-1,-3,81,53,34,1028,1024,1009,13,10,8,27,8,,0.00,5,,52<br />
2014-1-17,17,12,7,1,-2,-11,66,42,14,1028,1023,1011,19,14,6,35,8,,0.00,2,,31<br />
2014-1-18,19,10,2,0,-3,-6,75,46,21,1030,1025,1013,19,13,10,19,8,,0.00,0,,62<br />
2014-1-19,19,11,4,0,-3,-5,61,41,23,1032,1027,1014,19,13,10,23,6,,0.00,2,,29<br />
2014-1-20,22,13,5,1,-1,-3,66,42,20,1030,1025,1012,19,13,8,23,8,,0.00,0,,56<br />
2014-1-21,18,12,6,1,-2,-8,66,44,18,1032,1026,1013,19,14,8,34,10,42,0.00,1,,35<br />
2014-1-22,21,11,2,2,-1,-4,75,49,20,1030,1025,1012,16,11,8,19,8,,0.00,0,,75<br />
2014-1-23,23,14,7,3,0,-4,58,39,16,1029,1023,1009,13,10,8,19,5,,0.00,1,,78<br />
2014-1-24,22,16,9,6,3,-2,76,48,21,1034,1027,1012,16,12,8,23,8,,0.00,1,,10<br />
2014-1-25,22,14,8,6,2,-3,76,49,19,1031,1026,1011,16,11,8,23,5,,0.00,1,,35<br />
2014-1-26,22,14,7,6,2,0,66,43,23,1028,1023,1007,16,12,10,21,8,,0.00,1,,81<br />
2014-1-27,24,17,9,7,4,0,66,48,22,1027,1021,1006,16,11,8,19,6,,0.00,1,,84<br />
2014-1-28,23,17,10,6,4,3,62,45,29,1026,1020,1004,19,12,8,26,8,,0.00,3,,112<br />
2014-1-29,22,17,12,7,3,-1,72,46,22,1025,1019,1004,24,15,10,24,8,42,0.00,5,,148<br />
2014-1-30,23,14,7,2,-2,-14,66,39,8,1027,1022,1007,24,16,10,16,6,,0.00,0,,78<br />
2014-1-31,24,16,7,3,-1,-13,66,39,8,1027,1021,1006,16,12,8,24,6,,0.00,2,,100<br />
2014-2-1,25,16,7,3,0,-4,57,37,17,1025,1020,1002,16,12,8,27,6,,0.00,0,,89<br />
