
BOT,Temperatura máximaC,Temperatura mediaC,Temperatura mínimaC,Punto de rocíoC,MeanDew PointC,Min DewpointC,Max Humedad, Mean Humedad, Min Humedad, Max Presión al nivel del marhPa, Mean Presión al nivel del marhPa, Min Presión al nivel del marhPa, Max VisibilidadKm, Mean VisibilidadKm, Min VisibilidadkM, Max Velocidad del vientoKm/h, Mean Velocidad del vientoKm/h, Max Velocidad de ráfagasKm/h,Precipitaciónmm, CloudCover, Eventos,WindDirDegrees<br />
2014-1-1,12,9,5,7,5,4,93,79,66,1036,1034,1032,14,11,6,24,11,,0.00,6,Lluvia-Tormenta,266<br />
2014-1-2,14,10,6,6,4,0,87,71,47,1035,1033,1030,19,11,8,34,10,52,10.92,6,Lluvia-Tormenta,301<br />
2014-1-3,12,7,2,7,5,2,93,81,55,1037,1034,1032,19,10,3,21,8,,0.00,6,Niebla-Lluvia-Tormenta,61<br />
2014-1-4,11,8,5,7,5,3,100,84,66,1038,1037,1036,19,8,3,26,11,,2.03,6,Niebla-Lluvia-Tormenta,91<br />
2014-1-5,14,9,4,7,6,4,96,82,62,1039,1037,1034,14,7,3,21,8,,3.05,6,Niebla-Lluvia-Tormenta,98<br />
2014-1-6,15,10,6,7,6,0,95,78,39,1038,1035,1033,14,7,3,19,10,,1.02,6,Niebla-Lluvia-Tormenta,112<br />
2014-1-7,13,8,3,7,5,0,100,79,55,1037,1035,1033,19,9,3,21,10,,0.00,6,Niebla-Lluvia-Tormenta,121<br />
2014-1-8,16,10,5,7,5,3,100,75,37,1038,1036,1033,19,8,0,19,11,,0.25,5,Niebla-Lluvia-Tormenta,99<br />
2014-1-9,14,9,4,6,4,1,93,75,43,1038,1035,1031,14,9,3,24,11,,0.00,6,Niebla,114<br />
2014-1-10,16,11,5,6,4,-1,93,69,20,1036,1034,1032,19,9,3,23,13,,0.25,5,Niebla-Lluvia-Tormenta,108<br />
2014-1-11,18,10,3,5,3,-1,93,60,19,1038,1036,1035,19,9,3,26,10,,0.00,3,Niebla,102<br />
2014-1-12,15,11,6,6,4,2,93,68,35,1040,1038,1036,19,10,3,32,11,,0.00,6,Niebla-Tormenta,99<br />
2014-1-13,17,10,4,6,3,-2,100,66,19,1040,1038,1035,19,8,3,24,11,39,0.00,5,Niebla,105<br />
2014-1-14,16,9,3,6,3,1,93,64,27,1040,1037,1034,19,9,3,24,14,,0.00,5,Niebla-Tormenta,95<br />
2014-1-15,13,8,3,7,3,0,93,69,40,1039,1036,1033,19,10,3,29,13,,3.05,6,Niebla-Lluvia-Tormenta,47<br />
2014-1-16,11,8,4,7,5,3,100,85,69,1037,1036,1033,14,8,3,27,13,,8.89,6,Niebla-Lluvia-Tormenta,111<br />
2014-1-17,11,7,2,7,4,2,93,82,67,1038,1036,1035,19,8,3,14,11,,0.76,6,Niebla-Lluvia-Tormenta,217<br />
