
UYST,Temperatura máximaC,Temperatura mediaC,Temperatura mínimaC,Punto de rocíoC,MeanDew PointC,Min DewpointC,Max Humedad, Mean Humedad, Min Humedad, Max Presión al nivel del marhPa, Mean Presión al nivel del marhPa, Min Presión al nivel del marhPa, Max VisibilidadKm, Mean VisibilidadKm, Min VisibilidadkM, Max Velocidad del vientoKm/h, Mean Velocidad del vientoKm/h, Max Velocidad de ráfagasKm/h,Precipitaciónmm, CloudCover, Eventos,WindDirDegrees<br />
2014-1-1,33,27,20,23,19,14,94,67,37,1006,1004,1002,19,12,10,19,14,,0.25,4,Lluvia,40<br />
2014-1-2,24,22,21,23,20,15,96,85,55,1005,1001,997,10,7,1,34,16,55,18.03,7,Lluvia-Tormenta,174<br />
2014-1-3,22,19,17,14,8,5,64,46,24,1016,1011,1004,19,10,10,39,23,,0.00,3,,205<br />
2014-1-4,29,21,12,10,7,3,72,41,11,1017,1014,1011,19,13,10,34,11,52,0.00,1,,321<br />
2014-1-5,30,24,19,19,17,12,73,60,39,1015,1013,1011,19,13,10,29,14,,0.00,1,,118<br />
2014-1-6,35,27,18,23,17,9,94,57,13,1014,1006,997,19,8,1,32,16,55,0.00,7,Lluvia-Tormenta,15<br />
2014-1-7,22,21,19,20,17,1,94,75,25,1009,1006,1004,19,8,0,48,18,66,12.95,7,Lluvia-Tormenta,359<br />
2014-1-8,24,21,18,19,17,14,94,74,55,1012,1010,1006,10,10,10,19,11,,0.00,4,,143<br />
2014-1-9,32,23,15,21,17,13,100,71,31,1012,1009,1005,10,10,10,26,11,,8.89,6,Lluvia-Tormenta,22<br />
2014-1-10,28,23,17,21,19,16,100,80,54,1010,1007,1005,19,9,1,39,13,64,9.91,7,Lluvia-Tormenta,6<br />
2014-1-11,22,19,17,19,14,7,88,66,34,1022,1015,1008,19,11,10,35,16,53,0.00,5,,177<br />
2014-1-12,22,19,16,16,12,7,68,58,46,1024,1023,1022,10,10,10,32,21,47,0.00,4,,119<br />
2014-1-13,26,21,16,20,16,13,78,70,54,1022,1020,1016,10,10,10,34,16,40,0.00,3,,96<br />
2014-1-14,25,21,16,20,18,16,99,76,55,1018,1015,1012,19,11,3,21,11,,0.00,1,Niebla,107<br />
2014-1-15,31,24,18,21,18,14,100,68,28,1013,1011,1009,10,10,10,19,10,,0.00,1,,3<br />
2014-1-16,32,27,21,24,19,16,89,64,32,1012,1010,1010,10,10,10,23,11,,0.00,2,,356<br />
2014-1-17,34,28,22,22,21,19,88,65,45,1012,1010,1008,19,14,10,24,13,,0.00,7,,34<br />
2014-1-18,36,29,23,22,19,14,78,52,22,1012,1010,1007,10,10,10,19,11,,0.00,2,,350<br />
2014-1-19,26,24,23,23,19,18,84,69,53,1012,1011,1008,10,10,10,32,19,48,0.00,4,,126<br />
2014-1-20,31,26,19,23,20,17,94,77,52,1011,1008,1004,10,8,2,40,16,42,6.10,6,Lluvia-Tormenta,30<br />
2014-1-21,27,23,21,22,21,20,94,82,61,1006,1003,1000,19,8,1,37,19,61,29.97,7,Lluvia-Tormenta,358<br />
2014-1-22,32,26,19,25,22,19,100,80,54,1007,1005,1004,10,10,10,21,8,,0.00,4,Tormenta,12<br />
2014-1-23,31,27,23,25,24,22,94,81,63,1006,1003,998,10,9,3,40,19,60,0.00,7,Lluvia-Tormenta,81<br />
2014-1-24,22,20,18,25,18,9,100,81,45,1018,1008,998,10,7,1,50,24,77,62.99,8,Lluvia-Granizo-Tormenta,220<br />
2014-1-25,20,18,16,10,8,5,59,48,37,1022,1020,1018,10,10,10,32,23,45,0.00,4,,142<br />
2014-1-26,24,19,13,21,15,10,88,71,49,1020,1017,1014,10,10,10,26,14,,0.00,4,,95<br />
2014-1-27,26,23,19,22,20,18,94,80,63,1015,1013,1010,10,10,10,14,8,,0.00,6,,53<br />
2014-1-28,25,23,22,23,22,20,100,92,69,1013,1009,1005,10,7,1,24,6,,14.99,7,Lluvia,355<br />
2014-1-29,24,23,21,22,21,20,100,87,73,1014,1012,1009,10,8,2,13,6,,0.00,7,Niebla-Lluvia,107<br />
2014-1-30,27,24,21,23,21,19,94,86,67,1012,1010,1006,10,9,3,21,6,,0.00,5,Lluvia,357<br />
2014-1-31,32,26,20,24,22,20,100,80,47,1009,1006,1004,10,9,1,32,13,52,2.03,3,Lluvia-Tormenta,322<br />
2014-2-1,25,23,21,22,21,19,94,88,73,1011,1009,1006,19,8,0,23,3,,21.08,6,Niebla-Lluvia-Tormenta,51<br />
2014-2-2,24,22,19,21,19,19,100,89,68,1009,1006,1004,19,9,3,29,10,47,2.03,7,Lluvia-Tormenta,2<br />
2014-2-3,21,20,19,20,19,18,100,91,81,1011,1008,1006,19,10,3,27,10,,2.03,8,Lluvia-Tormenta,334<br />
2014-2-4,28,22,17,23,20,17,100,86,57,1011,1009,1007,10,7,0,23,6,,0.00,5,Niebla,32<br />
2014-2-5,35,28,22,24,22,2,94,77,17,1009,1006,1003,10,8,1,34,14,45,11.94,5,Lluvia-Tormenta,1<br />
2014-2-6,19,18,17,22,18,16,100,93,88,1013,1012,1008,10,7,2,32,18,50,5.08,8,Lluvia-Tormenta,99<br />
2014-2-7,24,21,18,23,20,18,100,93,80,1011,1008,1004,19,6,0,32,10,50,92.96,7,Lluvia-Tormenta,61<br />
2014-2-8,33,27,20,26,22,2,100,83,28,1009,1006,1003,10,8,0,40,10,63,17.02,5,Niebla-Lluvia-Tormenta,105<br />
2014-2-9,25,22,20,22,20,16,100,88,60,1013,1010,1005,10,8,1,32,14,55,18.03,7,Lluvia-Tormenta,154<br />
2014-2-10,26,22,17,22,20,18,100,84,70,1016,1014,1012,19,10,10,16,8,,0.00,7,,84<br />
2014-2-11,32,26,20,24,21,19,100,85,61,1014,1009,1005,19,9,1,35,8,71,4.06,5,Niebla-Lluvia-Tormenta,327<br />
2014-2-12,25,22,19,21,19,16,100,84,57,1013,1010,1008,10,8,3,23,11,,0.00,4,,151<br />
2014-2-13,24,22,21,19,17,14,83,68,45,1020,1016,1013,10,10,10,34,19,47,0.00,5,,125<br />
2014-2-14,22,18,14,16,13,9,83,60,35,1027,1025,1021,10,10,5,37,21,,0.51,5,Lluvia,131<br />
2014-2-15,23,19,15,17,13,11,88,63,47,1029,1027,1024,19,11,10,32,19,42,0.00,5,,91<br />
2014-2-16,23,21,18,20,17,12,83,75,62,1026,1023,1020,19,11,10,37,21,47,0.00,4,,97<br />
2014-2-17,29,23,18,21,18,17,88,67,38,1022,1020,1017,19,14,10,29,18,,0.00,7,,52<br />
2014-2-18,30,24,19,21,18,17,94,71,39,1019,1016,1013,19,11,10,32,18,40,0.00,6,,45<br />
2014-2-19,26,23,21,22,21,19,94,82,71,1014,1012,1010,10,10,10,27,18,,0.00,6,Lluvia-Tormenta,45<br />
2014-2-20,27,23,20,21,20,19,100,83,60,1011,1010,1008,10,10,10,19,6,,0.00,5,Lluvia-Tormenta,348<br />
2014-2-21,27,22,18,22,19,18,100,82,64,1013,1010,1009,10,7,1,24,5,39,0.00,5,,183<br />
2014-2-22,24,22,20,20,17,14,88,71,55,1015,1014,1012,19,10,10,19,13,,0.00,5,,148<br />
2014-2-23,24,20,16,20,17,15,88,76,51,1014,1011,1008,19,10,8,19,8,,0.51,6,Lluvia,97<br />
2014-2-24,26,20,15,20,17,14,94,76,52,1015,1011,1009,10,9,5,34,6,48,0.00,5,Lluvia,176<br />
2014-2-25,22,20,18,17,14,11,83,64,43,1018,1017,1015,10,10,8,29,26,47,1.02,5,Lluvia,168<br />
2014-2-26,22,19,16,15,13,10,78,61,45,1019,1017,1016,10,10,10,29,19,,0.00,6,,152<br />
2014-2-27,22,19,16,17,14,10,94,75,50,1017,1016,1015,10,9,3,23,13,,6.10,6,Lluvia,168<br />
2014-2-28,23,20,17,18,16,14,94,75,54,1015,1014,1012,10,10,10,27,10,,0.00,4,,135<br />
2014-3-1,23,18,13,16,14,11,94,71,56,1014,1013,1013,19,10,10,21,10,,0.00,4,,158<br />
