
CLST,Temperatura máximaC,Temperatura mediaC,Temperatura mínimaC,Punto de rocíoC,MeanDew PointC,Min DewpointC,Max Humedad, Mean Humedad, Min Humedad, Max Presión al nivel del marhPa, Mean Presión al nivel del marhPa, Min Presión al nivel del marhPa, Max VisibilidadKm, Mean VisibilidadKm, Min VisibilidadkM, Max Velocidad del vientoKm/h, Mean Velocidad del vientoKm/h, Max Velocidad de ráfagasKm/h,Precipitaciónmm, CloudCover, Eventos,WindDirDegrees<br />
2014-1-1,29,21,12,8,4,-1,58,33,10,1015,1013,1009,10,10,10,32,14,,0.00,,,181<br />
2014-1-2,28,21,13,8,6,3,59,38,13,1015,1013,1009,10,10,10,29,14,,0.00,1,,182<br />
2014-1-3,32,22,13,6,2,-9,51,26,4,1016,1013,1008,10,10,10,27,13,,0.00,,,178<br />
2014-1-4,34,23,13,6,1,-6,38,20,4,1012,1010,1005,10,5,2,32,11,,0.00,2,,182<br />
2014-1-5,31,22,14,11,8,5,52,36,17,1014,1011,1008,10,7,3,23,10,,0.00,0,,181<br />
2014-1-6,33,24,15,12,9,7,68,41,16,1014,1012,1008,10,10,10,32,11,,0.00,,,195<br />
2014-1-7,34,24,14,8,4,-1,63,29,5,1014,1012,1007,10,9,8,32,11,,0.00,0,,188<br />
2014-1-8,29,22,14,11,7,3,64,37,13,1016,1013,1011,10,7,2,37,13,,0.00,0,,186<br />
2014-1-9,29,21,13,11,9,3,77,51,23,1018,1016,1013,10,8,6,27,13,,0.00,0,,196<br />
2014-1-10,31,22,14,7,5,2,52,31,10,1014,1013,1009,10,10,10,32,10,,0.00,,,187<br />
2014-1-11,35,24,14,7,5,2,55,30,7,1013,1011,1007,10,10,10,35,11,,0.00,,,171<br />
2014-1-12,33,23,13,11,6,2,56,31,11,1014,1012,1008,10,10,10,35,14,,0.00,,,180<br />
2014-1-13,29,21,13,11,11,9,77,53,20,1015,1014,1010,10,10,10,27,14,,0.00,,,172<br />
2014-1-14,32,23,14,12,11,8,72,46,15,1014,1012,1007,10,10,10,29,11,,0.00,3,,177<br />
2014-1-15,32,24,17,13,12,10,63,43,21,1011,1009,1005,10,10,10,27,13,,0.00,,,176<br />
2014-1-16,31,23,16,13,12,12,77,51,24,1014,1011,1008,10,10,10,26,16,45,0.00,,,172<br />
2014-1-17,31,23,16,13,12,11,77,50,24,1016,1013,1010,10,10,10,29,14,,0.00,,,170<br />
2014-1-18,31,23,16,14,11,9,64,47,26,1016,1014,1012,10,10,7,27,11,,0.25,5,Lluvia,160<br />
2014-1-19,30,23,16,12,11,10,68,46,23,1016,1014,1011,10,10,10,27,13,,0.00,1,,173<br />
2014-1-20,30,22,15,11,10,8,72,50,23,1015,1013,1009,10,10,10,34,13,,0.00,,,189<br />
2014-1-21,31,21,12,10,9,8,72,46,18,1015,1013,1008,10,10,10,29,13,,0.00,,,198<br />
2014-1-22,27,21,14,11,9,7,77,48,25,1015,1013,1009,10,10,10,26,13,,0.00,,,180<br />
2014-1-23,27,21,14,10,9,8,72,48,23,1017,1014,1012,10,10,10,34,14,,0.00,,,181<br />
2014-1-24,29,21,13,11,9,4,82,51,19,1018,1015,1011,10,10,10,26,14,,0.00,1,,188<br />
2014-1-25,31,22,13,9,6,3,51,33,15,1015,1014,1009,10,10,10,26,11,,0.00,1,,169<br />
2014-1-26,29,21,13,10,7,4,63,41,19,1015,1013,1010,10,10,10,27,14,,0.00,2,,176<br />
2014-1-27,26,19,12,11,9,8,82,56,27,1016,1014,1012,10,10,10,24,16,,0.00,2,,174<br />
2014-1-28,29,21,12,10,9,7,77,48,19,1016,1014,1010,10,10,10,27,13,,0.00,2,,184<br />
2014-1-29,33,23,14,9,7,1,63,36,11,1014,1011,1005,10,9,8,34,11,,0.00,0,,186<br />
2014-1-30,32,23,14,11,8,6,63,36,14,1014,1012,1009,10,10,10,35,13,,0.00,,,192<br />
2014-1-31,32,23,14,10,8,6,67,39,13,1016,1015,1011,10,9,8,34,13,,0.00,0,,191<br />
2014-2-1,29,22,16,10,7,-3,68,37,12,1015,1013,1009,10,10,10,37,14,,0.00,1,,178<br />
2014-2-2,27,19,12,6,3,1,47,31,12,1014,1013,1010,10,10,10,32,11,34,0.00,,,181<br />
2014-2-3,29,20,12,8,6,5,72,40,14,1014,1012,1008,10,10,10,24,11,,0.00,,,184<br />
2014-2-4,28,20,12,7,6,5,63,38,17,1014,1011,1009,10,10,10,32,11,,0.00,,,189<br />
2014-2-5,27,20,12,10,8,6,77,49,18,1018,1016,1013,10,10,10,29,13,,0.00,,,184<br />
2014-2-6,29,21,13,10,8,4,72,42,17,1015,1014,1010,10,10,10,27,11,,0.00,,,178<br />
2014-2-7,30,21,11,6,4,2,58,32,13,1015,1013,1008,10,10,10,26,11,,0.00,,,172<br />
2014-2-8,29,20,11,9,6,3,67,38,16,1015,1013,1009,10,10,10,27,14,,0.00,,,181<br />
2014-2-9,31,22,14,10,9,8,67,43,18,1014,1012,1008,10,10,10,26,11,,0.00,,,173<br />
2014-2-10,29,22,15,12,11,9,72,49,21,1015,1013,1010,10,10,10,27,13,,0.00,,,170<br />
2014-2-11,31,21,11,12,11,9,94,58,17,1016,1014,1009,10,6,1,29,14,,0.00,3,Niebla,175<br />
2014-2-12,33,23,14,9,8,6,67,39,11,1013,1011,1007,10,10,10,32,11,,0.00,,,177<br />
2014-2-13,30,22,13,10,8,3,67,43,14,1014,1010,1007,10,10,10,34,13,,0.00,,,185<br />
2014-2-14,27,20,13,11,11,10,82,61,29,1015,1013,1010,10,9,8,29,14,,0.00,6,,189<br />
2014-2-15,24,18,12,10,9,9,82,58,29,1017,1014,1013,10,10,10,26,13,32,0.00,5,,177<br />
2014-2-16,29,21,13,10,8,7,67,46,19,1017,1014,1010,10,10,10,27,10,32,0.00,5,,178<br />
2014-2-17,30,21,12,11,9,8,72,46,16,1015,1013,1009,10,10,10,29,11,,0.00,,,182<br />
2014-2-18,29,21,12,12,11,9,94,62,22,1015,1014,1010,10,5,0,29,14,,0.00,5,Niebla,177<br />
2014-2-19,30,21,13,12,10,8,82,51,19,1016,1014,1010,10,10,10,32,13,,0.00,,,178<br />
2014-2-20,31,22,13,11,9,5,82,47,18,1013,1011,1008,10,9,8,27,13,,0.00,0,,178<br />
2014-2-21,31,22,13,6,4,0,55,29,11,1015,1013,1010,10,10,10,29,11,,0.00,,,189<br />
2014-2-22,32,21,11,4,3,0,54,29,9,1015,1013,1008,10,9,6,29,10,,0.00,0,,166<br />
2014-2-23,27,19,10,9,5,2,63,38,14,1013,1011,1009,10,10,10,29,14,,0.00,,,174<br />
2014-2-24,21,14,8,10,9,8,94,69,36,1018,1013,1011,10,7,0,32,14,,0.00,3,Niebla,174<br />
2014-2-25,27,19,11,9,8,2,77,49,20,1018,1016,1012,10,10,10,19,10,,0.00,5,,141<br />
2014-2-26,33,22,11,9,6,-2,76,38,5,1016,1014,1010,10,9,8,27,10,40,0.00,0,,174<br />
2014-2-27,31,21,12,8,6,4,62,36,17,1015,1013,1010,10,10,10,29,11,,0.00,,,181<br />
2014-2-28,27,19,11,8,7,6,76,48,18,1015,1013,1009,10,10,10,27,14,,0.00,,,177<br />
2014-3-1,24,17,10,9,8,7,82,56,27,1016,1014,1011,10,10,10,32,16,,0.00,5,,179<br />
2014-3-2,26,18,11,10,9,9,94,60,25,1019,1016,1013,10,9,5,34,16,37,0.00,3,,179<br />
2014-3-3,27,19,10,11,9,8,94,60,25,1019,1016,1011,10,8,3,29,13,,0.00,2,Niebla,177<br />
2014-3-4,28,19,11,11,9,8,82,52,24,1016,1015,1012,10,10,10,26,13,,0.00,,,182<br />
2014-3-5,30,21,11,10,8,6,72,46,14,1016,1015,1011,10,10,10,35,13,,0.00,4,,182<br />
2014-3-6,30,21,12,9,7,3,72,40,14,1019,1017,1013,10,10,10,27,11,,0.00,4,,173<br />
2014-3-7,33,22,12,5,3,-2,55,29,7,1017,1015,1011,10,10,10,29,10,,0.00,,,178<br />
2014-3-8,32,22,12,5,2,-4,54,28,4,1016,1014,1009,10,10,10,32,10,,0.00,,,162<br />
2014-3-9,28,20,12,9,7,5,63,42,16,1018,1016,1013,10,10,10,27,11,,0.00,2,,176<br />
2014-3-10,27,21,16,9,6,-3,59,38,14,1019,1016,1014,10,10,10,29,11,,0.00,5,,176<br />
2014-3-11,28,19,9,7,2,-3,54,31,10,1018,1016,1011,10,10,10,27,8,,0.00,6,,190<br />
2014-3-12,28,19,11,8,7,5,67,42,14,1015,1013,1009,10,10,10,24,10,,0.00,,,183<br />
2014-3-13,26,19,12,10,8,7,77,52,20,1016,1014,1011,10,10,10,32,11,,0.00,1,,175<br />
2014-3-14,24,17,10,10,9,7,94,63,25,1019,1017,1014,10,9,6,24,13,,0.00,4,,185<br />
2014-3-15,27,18,9,9,8,4,77,52,21,1016,1014,1010,10,10,10,27,10,,0.00,4,,168<br />
2014-3-16,27,18,9,7,5,3,71,41,15,1017,1014,1010,10,9,8,24,10,,0.00,2,,190<br />
2014-3-17,30,20,10,8,6,4,66,38,14,1013,1011,1007,10,9,7,27,10,,0.00,0,,172<br />
2014-3-18,27,19,12,7,6,4,63,42,15,1014,1012,1009,10,10,10,29,11,,0.00,1,,169<br />
2014-3-19,27,18,9,9,7,6,76,48,18,1016,1014,1011,10,10,10,26,10,,0.00,3,,178<br />
2014-3-20,31,21,11,9,7,5,72,42,14,1015,1013,1008,10,10,10,27,8,,0.00,,,176<br />
2014-3-21,32,21,11,7,5,2,63,35,11,1015,1013,1009,10,8,6,24,8,,0.00,0,,189<br />
2014-3-22,34,23,12,8,5,-1,58,34,5,1015,1014,1009,10,9,8,32,8,,0.00,0,,169<br />
2014-3-23,28,19,10,11,8,6,72,49,17,1016,1014,1011,10,8,5,27,8,,0.00,0,,167<br />
2014-3-24,28,18,9,10,9,7,87,58,22,1017,1015,1012,10,6,3,26,10,,0.00,0,,182<br />
2014-3-25,28,19,9,10,8,6,82,54,18,1017,1014,1009,10,8,4,23,11,,0.00,0,Niebla,170<br />
2014-3-26,23,16,9,9,8,6,100,67,29,1016,1015,1012,10,5,0,24,14,,0.00,5,Niebla,168<br />
2014-3-27,22,16,9,10,8,7,94,70,35,1016,1015,1013,10,6,2,26,11,,0.00,6,Niebla,171<br />
2014-3-28,24,16,7,9,8,5,87,61,25,1016,1014,1011,10,7,3,24,10,,0.00,0,,162<br />
2014-3-29,22,16,9,9,8,8,100,71,28,1016,1013,1009,10,7,0,29,14,,0.00,6,Niebla,168<br />
2014-3-30,21,16,11,9,8,5,82,59,33,1020,1015,1013,10,10,8,29,13,,0.00,4,Lluvia,184<br />
2014-3-31,21,14,7,6,4,3,71,50,24,1020,1018,1016,10,10,8,23,10,,0.00,5,,167<br />
2014-4-1,27,17,7,7,6,3,76,47,17,1019,1017,1013,10,9,8,26,6,,0.00,0,,181<br />
2014-4-2,24,17,9,7,6,4,71,46,24,1018,1016,1014,10,9,8,23,10,,0.00,0,,182<br />
2014-4-3,23,16,7,7,6,4,76,54,24,1017,1013,961,10,10,10,23,8,,0.00,,,187<br />
2014-4-4,24,15,6,8,6,4,82,55,21,1017,1015,1013,10,8,5,23,8,,0.00,0,,172<br />
2014-4-5,24,15,6,7,5,3,81,53,20,1017,1015,1011,10,7,3,24,8,,0.00,0,,184<br />
2014-4-6,17,12,8,8,7,6,93,73,45,1019,1015,1013,10,5,0,26,11,,0.00,6,Niebla,174<br />
2014-4-7,20,13,6,6,4,2,87,57,21,1024,1020,1018,10,9,2,24,8,,0.00,3,Niebla,191<br />
2014-4-8,24,15,6,5,2,-2,81,46,10,1023,1019,1015,10,9,7,26,10,39,0.00,0,,214<br />
2014-4-9,26,16,6,9,3,-2,67,42,10,1019,1016,1014,10,10,8,24,10,,0.00,6,,186<br />
2014-4-10,22,17,11,8,7,4,76,52,25,1020,1018,1016,10,10,10,23,14,,0.00,6,,178<br />
2014-4-11,19,13,7,4,3,1,66,47,24,1024,1021,1018,10,10,8,27,13,,0.00,4,,169<br />
2014-4-12,26,15,4,3,0,-8,70,40,7,1024,1019,1014,10,9,5,23,6,,0.00,0,,164<br />
2014-4-13,30,17,4,-1,-4,-10,61,28,4,1019,1015,1010,10,9,8,26,6,,0.00,2,,164<br />
2014-4-14,30,19,7,2,-2,-8,46,25,4,1015,1013,1008,10,9,8,24,8,,0.00,0,,176<br />
2014-4-15,28,18,8,9,3,0,67,38,11,1015,1012,1009,10,8,5,32,8,,0.00,0,,171<br />
2014-4-16,23,16,9,9,8,7,87,61,32,1018,1016,1014,10,8,6,29,11,,0.00,3,,173<br />
2014-4-17,22,15,8,8,5,1,82,53,17,1019,1017,1014,10,9,6,19,8,,0.00,6,,189<br />
2014-4-18,21,13,6,2,-1,-9,70,40,7,1018,1016,1015,10,9,5,29,5,,0.00,5,,184<br />
2014-4-19,27,16,3,-2,-5,-11,57,30,4,1019,1016,1013,10,9,8,23,6,,0.00,0,,163<br />
2014-4-20,28,17,5,0,-3,-7,57,28,5,1018,1015,1012,10,9,8,27,6,,0.00,3,,148<br />
2014-4-21,26,16,6,2,0,-2,61,34,12,1019,1016,1013,10,10,10,19,8,,0.00,,,193<br />
2014-4-22,28,17,6,6,1,-3,66,38,7,1016,1013,1009,10,9,8,24,6,,0.00,0,,177<br />
2014-4-23,24,16,7,8,4,1,72,49,18,1017,1015,1013,10,8,6,26,8,,0.00,0,,173<br />
2014-4-24,23,13,3,9,7,3,100,70,24,1017,1015,1012,8,5,0,26,8,,0.00,2,Niebla,167<br />
2014-4-25,19,11,4,8,7,3,93,72,41,1016,1015,1013,8,5,0,27,8,,0.00,1,Niebla,162<br />
2014-4-26,13,11,9,9,8,7,94,76,56,1020,1017,1015,10,6,2,14,10,,0.00,8,Lluvia,174<br />
2014-4-27,20,13,6,7,6,4,82,57,26,1022,1019,1016,10,8,5,14,6,,0.00,4,,167<br />
2014-4-28,22,14,6,6,4,3,81,57,26,1018,1015,1012,10,8,4,21,5,,0.00,4,,158<br />
2014-4-29,22,14,7,5,3,-1,76,51,20,1017,1015,1012,10,8,5,19,5,,0.00,5,,205<br />
2014-4-30,20,11,3,5,2,-1,70,50,15,1021,1019,1016,10,9,6,26,8,,0.00,4,,163<br />
2014-5-1,16,12,9,8,6,4,77,62,44,1020,1017,1014,10,9,8,23,8,,0.25,7,Lluvia,173<br />
2014-5-2,14,12,11,8,7,7,82,68,49,1017,1016,1014,10,9,6,10,6,,0.00,7,,184<br />
2014-5-3,23,17,11,11,9,7,88,63,27,1022,1019,1016,10,9,5,21,11,,0.00,6,Lluvia,153<br />
2014-5-4,23,15,7,10,8,6,93,66,26,1023,1020,1017,10,7,3,21,8,,0.00,3,,184<br />
2014-5-5,20,16,12,12,10,8,82,67,43,1020,1019,1016,10,9,8,13,5,,0.00,7,,160<br />
2014-5-6,24,17,10,11,9,7,88,59,26,1020,1017,1015,10,7,5,23,6,,0.00,6,,165<br />
2014-5-7,25,16,7,8,6,4,82,55,18,1022,1019,1015,10,8,6,19,6,,0.00,0,,177<br />
2014-5-8,27,17,7,11,6,2,77,51,14,1017,1016,1013,10,9,8,21,6,,0.00,2,,188<br />
2014-5-9,19,13,7,11,9,6,100,79,45,1019,1017,1016,8,5,0,27,8,,0.00,5,Niebla,172<br />
2014-5-10,14,12,11,10,9,8,94,76,59,1017,1016,1016,10,6,3,11,6,,0.00,8,,195<br />
2014-5-11,15,13,12,9,8,7,77,66,52,1020,1018,1015,10,8,6,16,8,,0.00,8,,181<br />
2014-5-12,19,12,6,7,6,3,81,63,32,1021,1019,1016,8,6,3,14,6,,0.00,2,,179<br />
2014-5-13,22,13,6,8,6,3,81,62,24,1020,1017,1015,10,6,3,26,8,,0.00,4,,166<br />
2014-5-14,21,16,10,7,5,2,71,52,18,1020,1017,1015,10,8,6,21,6,,0.00,5,,184<br />
2014-5-15,22,14,7,9,5,3,71,51,23,1021,1019,1016,10,9,6,14,6,,0.00,4,,124<br />
2014-5-16,22,14,6,9,6,4,81,59,28,1022,1019,1015,10,9,8,16,8,,0.00,0,,171<br />
2014-5-17,22,13,4,8,6,3,87,61,22,1020,1017,1013,8,7,3,16,5,,0.00,3,,188<br />
2014-5-18,22,16,8,6,1,-7,71,45,7,1019,1017,1015,10,7,6,26,8,,0.00,4,,167<br />
2014-5-19,16,9,2,7,1,-3,76,50,21,1020,1016,1014,10,10,10,19,6,,0.00,,,178<br />
2014-5-20,13,9,5,7,6,4,93,73,46,1017,1015,1014,10,7,0,23,8,,1.02,7,Niebla,181<br />
2014-5-21,12,9,7,8,6,5,87,79,57,1020,1017,1016,10,10,8,27,10,,2.03,6,Lluvia,192<br />
2014-5-22,16,9,2,6,3,2,100,75,30,1021,1018,1016,10,5,0,11,5,,0.00,4,Niebla,17<br />
2014-5-23,19,10,0,3,0,-3,87,58,14,1022,1018,1015,10,7,5,14,5,,0.00,0,,132<br />
2014-5-24,16,8,-1,5,1,-2,87,64,31,1024,1019,1016,10,8,5,23,6,,0.00,0,,162<br />
2014-5-25,14,8,1,6,4,1,100,81,46,1027,1024,1022,8,3,0,13,6,,0.00,5,Niebla,199<br />
2014-5-26,19,9,-2,3,1,-3,93,72,15,1024,1020,1017,10,4,0,14,6,,0.00,2,Niebla,11<br />
2014-5-27,25,13,1,0,-1,-5,81,47,8,1021,1015,1010,10,7,5,10,5,,0.00,0,,12<br />
2014-5-28,21,11,2,6,1,-3,76,50,12,1016,1013,1010,10,8,8,24,8,,0.00,2,,144<br />
2014-5-29,17,11,5,7,5,3,87,67,35,1019,1017,1015,10,8,3,24,8,,0.00,3,,184<br />
2014-5-30,17,11,6,7,6,4,87,68,36,1022,1020,1018,10,9,7,19,6,,0.00,4,,89<br />
2014-5-31,18,10,2,6,4,1,100,71,30,1024,1021,1018,10,5,0,14,6,,0.00,0,Niebla,239<br />
2014-6-1,19,9,-1,5,2,-2,93,64,23,1022,1017,1014,10,6,0,23,5,,0.00,0,Niebla,177<br />
2014-6-2,14,8,1,4,1,-2,87,61,29,1019,1014,1011,8,6,4,11,5,,0.00,5,,124<br />
2014-6-3,14,8,1,7,3,-1,93,72,36,1016,1011,1009,10,6,2,23,8,,12.95,6,Lluvia,310<br />
2014-6-4,13,9,4,4,3,1,93,71,36,1021,1018,1016,10,9,6,16,10,,0.00,4,Lluvia,169<br />
2014-6-5,13,8,2,3,2,0,93,67,31,1022,1019,1016,10,9,7,13,6,,0.00,3,,210<br />
2014-6-6,13,7,1,4,1,-4,93,68,22,1019,1016,1013,10,9,3,34,10,,7.87,6,Lluvia,316<br />
2014-6-7,8,5,2,5,3,1,93,81,61,1025,1021,1018,10,9,0,23,8,,1.02,6,Niebla-Lluvia,145<br />
2014-6-8,11,6,2,6,3,1,93,81,55,1027,1023,1020,10,8,3,40,11,,2.03,7,Niebla-Lluvia,13<br />
2014-6-9,18,9,0,7,3,0,100,77,35,1025,1019,1014,10,5,0,10,5,,0.00,3,Niebla,330<br />
2014-6-10,13,8,4,8,6,2,93,81,63,1019,1015,1013,10,6,3,26,8,,0.00,6,,164<br />
2014-6-11,11,9,7,7,6,0,93,84,57,1014,1011,1009,10,6,1,23,8,35,7.87,7,Niebla-Lluvia,145<br />
2014-6-12,7,4,3,6,3,0,93,82,61,1028,1021,1014,10,9,8,24,10,,17.02,7,Lluvia,46<br />
2014-6-13,13,6,-2,4,2,-2,100,76,36,1027,1021,965,10,6,0,10,6,,0.00,4,Niebla,311<br />
2014-6-14,14,10,5,5,4,3,87,72,43,1024,1021,1018,10,8,5,8,5,,0.00,5,,25<br />
2014-6-15,19,11,2,6,3,1,93,67,24,1024,1022,1020,10,6,5,13,6,,0.00,1,,38<br />
2014-6-16,21,12,3,7,4,1,93,63,22,1023,1019,1014,10,7,3,11,5,,0.00,0,,21<br />
2014-6-17,23,13,3,6,4,1,93,62,20,1018,1016,1013,10,7,4,14,5,,0.00,0,,1<br />
2014-6-18,24,13,3,8,4,1,87,63,18,1018,1015,1012,10,6,5,14,5,,0.00,0,,146<br />
2014-6-19,12,7,2,8,6,2,100,89,71,1019,1015,1014,5,1,0,19,8,,0.00,4,Niebla,171<br />
2014-6-20,12,8,5,7,6,4,100,90,67,1019,1016,1013,5,2,0,24,8,,0.00,7,Niebla,128<br />
2014-6-21,9,7,5,6,5,3,93,81,62,1021,1018,1015,6,5,3,13,8,,0.00,7,Lluvia,44<br />
2014-6-22,12,7,1,5,3,1,93,79,48,1022,1020,1018,8,5,0,8,5,,0.00,4,Niebla,327<br />
2014-6-23,17,9,2,6,4,1,93,71,34,1022,1019,1016,10,6,2,13,5,,0.00,5,Niebla,156<br />
2014-6-24,16,9,2,5,3,1,93,70,37,1020,1018,1016,10,7,3,21,6,,0.00,6,Niebla,168<br />
2014-6-25,9,7,4,5,4,4,93,83,68,1022,1019,1017,8,5,0,11,6,,0.00,7,Niebla,177<br />
2014-6-26,12,8,5,5,4,2,87,74,48,1029,1025,1021,8,6,5,13,6,,0.00,5,,173<br />
2014-6-27,14,7,-1,5,2,-2,100,80,34,1028,1024,1021,6,3,0,13,5,,0.00,1,Niebla,153<br />
2014-6-28,15,7,-2,5,1,-3,93,72,30,1025,1021,1018,7,4,0,14,3,,0.00,0,Niebla,138<br />
2014-6-29,20,9,-2,4,1,-3,93,67,19,1022,1018,1015,10,4,0,13,5,,0.00,0,Niebla,139<br />
2014-6-30,6,3,1,4,3,0,100,88,71,1023,1019,1017,6,2,0,16,6,,0.25,7,Niebla,194<br />
2014-7-1,9,7,4,3,2,2,81,73,50,1021,1017,1014,6,5,3,10,6,,0.00,8,,17<br />
2014-7-2,13,8,4,5,3,2,87,73,49,1024,1019,1015,10,7,3,24,8,,1.02,6,Lluvia,13<br />
2014-7-3,13,8,2,6,3,1,93,79,48,1020,1017,1015,10,6,0,14,5,,0.00,5,Niebla,198<br />
2014-7-4,11,8,6,5,4,3,87,76,52,1026,1020,1017,10,9,5,14,10,,0.00,7,,188<br />
2014-7-5,12,9,6,5,4,2,93,74,46,1031,1028,1025,10,9,5,19,8,,0.00,6,Lluvia,189<br />
2014-7-6,16,7,-1,4,1,-2,100,69,17,1030,1025,1022,10,5,0,8,3,,0.00,2,Niebla,276<br />
2014-7-7,20,9,-1,1,-1,-7,87,57,15,1024,1019,1015,10,6,3,13,5,,0.00,0,,355<br />
2014-7-8,21,11,1,5,1,-3,87,58,14,1021,1018,1016,10,7,3,16,5,,0.00,0,,172<br />
2014-7-9,22,12,2,4,2,-1,87,59,16,1021,1016,1013,10,6,3,11,5,,0.00,3,,60<br />
2014-7-10,15,8,1,5,3,-1,87,73,44,1017,1013,1011,7,5,3,29,8,,0.00,5,,143<br />
2014-7-11,8,7,6,5,4,2,93,80,66,1020,1016,1014,5,4,2,11,6,,0.00,8,,317<br />
2014-7-12,15,10,5,4,3,1,81,63,34,1022,1017,1013,8,6,5,10,5,,0.00,6,,356<br />
2014-7-13,20,10,0,6,1,-5,87,62,16,1017,1014,1011,10,5,3,24,6,,0.00,5,,222<br />
2014-7-14,14,9,4,9,6,2,93,83,55,1025,1018,1012,19,6,0,24,10,,12.95,7,Niebla-Lluvia,162<br />
2014-7-15,13,9,5,7,6,4,93,79,54,1026,1023,1020,10,9,0,13,6,,0.00,5,Niebla-Lluvia,346<br />
2014-7-16,16,12,8,7,6,3,87,71,43,1026,1022,1020,10,9,6,14,6,,0.00,6,,171<br />
2014-7-17,19,11,4,8,5,2,93,69,36,1027,1024,1021,10,6,2,11,5,,0.00,0,Niebla,133<br />
2014-7-18,23,13,3,7,5,1,93,65,24,1022,1017,1013,10,6,0,10,5,,0.00,0,Niebla,16<br />
2014-7-19,22,12,3,8,5,1,87,69,22,1017,1014,1012,10,6,0,19,5,,0.00,0,Niebla,168<br />
2014-7-20,9,7,5,7,6,4,93,88,76,1020,1016,1013,7,2,0,13,6,,0.00,8,Niebla,178<br />
2014-7-21,11,9,8,6,5,4,87,74,51,1022,1020,1018,8,6,3,13,6,,0.00,8,,182<br />
2014-7-22,9,8,7,6,5,1,87,77,57,1024,1020,1017,10,8,5,19,11,,0.00,7,,175<br />
2014-7-23,12,9,5,3,2,1,81,66,36,1029,1026,1022,10,10,10,13,8,,0.00,5,,180<br />
2014-7-24,13,6,-1,3,-1,-3,93,66,22,1030,1025,1022,10,6,0,14,6,,0.00,0,Niebla,159<br />
2014-7-25,15,8,0,1,-1,-3,81,56,21,1023,1021,1018,10,8,5,14,5,,0.00,4,,154<br />
2014-7-26,13,7,1,3,1,-1,81,64,40,1025,1021,1019,10,7,3,13,5,,0.00,5,,303<br />
2014-7-27,18,12,7,4,3,0,76,52,23,1022,1020,1019,10,8,6,21,10,,0.00,7,,131<br />
2014-7-28,18,12,7,8,6,4,82,63,34,1021,1018,1016,10,8,6,16,6,,0.00,6,,159<br />
