
COT,Temperatura máximaC,Temperatura mediaC,Temperatura mínimaC,Punto de rocíoC,MeanDew PointC,Min DewpointC,Max Humedad, Mean Humedad, Min Humedad, Max Presión al nivel del marhPa, Mean Presión al nivel del marhPa, Min Presión al nivel del marhPa, Max VisibilidadKm, Mean VisibilidadKm, Min VisibilidadkM, Max Velocidad del vientoKm/h, Mean Velocidad del vientoKm/h, Max Velocidad de ráfagasKm/h,Precipitaciónmm, CloudCover, Eventos,WindDirDegrees<br />
2014-1-1,21,14,7,11,7,3,94,67,21,1027,1025,1022,19,11,8,23,11,,0.00,3,Niebla,60<br />
2014-1-2,21,13,4,11,8,4,100,74,33,1026,1024,1022,18,11,10,29,10,,0.00,3,,336<br />
2014-1-3,20,13,6,10,8,6,100,71,35,1026,1024,1022,18,11,10,26,10,27,0.00,2,Niebla,73<br />
2014-1-4,17,11,5,10,8,7,100,74,43,1027,1025,1023,18,12,10,26,13,,0.00,3,,85<br />
2014-1-5,21,14,7,12,9,7,100,77,30,1027,1025,1023,18,11,10,27,10,,1.02,4,Lluvia-Tormenta,45<br />
2014-1-6,18,14,10,12,10,4,100,85,64,1027,1025,1023,16,10,6,23,10,,1.02,4,Lluvia-Tormenta,27<br />
2014-1-7,17,13,10,12,11,10,100,87,59,1027,1025,1022,11,8,3,19,6,,0.00,5,Niebla,319<br />
2014-1-8,18,14,12,13,12,11,100,94,68,1027,1025,1023,10,8,3,23,6,,0.00,4,Lluvia-Tormenta,323<br />
2014-1-9,18,13,8,12,9,6,95,82,41,1027,1026,1024,18,11,8,19,8,,0.00,2,Niebla,47<br />
2014-1-10,20,13,6,12,10,5,100,80,26,1027,1025,1022,14,9,4,21,6,,0.00,4,Niebla,315<br />
2014-1-11,21,15,9,12,9,4,100,71,24,1028,1025,1023,14,9,5,32,10,,0.00,4,Tormenta,4<br />
2014-1-12,19,14,9,12,11,6,100,80,46,1029,1027,1025,11,9,5,29,8,,0.00,5,Niebla,359<br />
2014-1-13,19,13,7,12,8,6,100,77,40,1028,1026,1024,14,9,5,26,10,,0.00,2,Niebla,30<br />
2014-1-14,19,13,7,10,8,6,93,71,33,1029,1026,1024,16,11,8,19,8,,0.00,2,,34<br />
2014-1-15,20,13,6,11,8,5,100,74,31,1028,1026,1023,16,9,6,19,8,47,0.00,3,Niebla,47<br />
2014-1-16,21,14,7,12,9,7,100,79,34,1028,1025,1023,14,10,2,233,13,,0.00,3,Niebla,6<br />
2014-1-17,19,13,8,10,8,6,94,66,31,1028,1026,1023,16,11,10,241,14,,0.00,3,,104<br />
2014-1-18,19,14,11,10,9,8,82,66,43,1029,1027,1025,18,11,10,19,10,,0.00,5,,69<br />
2014-1-19,19,14,10,11,9,6,94,70,29,1029,1027,1025,18,11,9,32,10,34,0.00,5,,66<br />
2014-1-20,21,14,7,11,8,5,93,68,27,1028,1026,1023,18,11,10,23,10,,0.00,3,,25<br />
2014-1-21,21,13,6,12,9,6,100,77,32,1027,1025,1023,11,9,6,23,8,,0.00,4,Niebla,11<br />
2014-1-22,19,14,9,13,11,8,95,77,49,1028,1026,1024,16,10,5,26,8,,20.07,4,Lluvia,297<br />
2014-1-23,20,14,8,11,8,4,100,76,27,1029,1026,1024,18,9,0,29,11,,0.00,4,Niebla,31<br />
2014-1-24,21,12,3,11,8,3,100,79,33,1029,1027,1024,14,9,2,26,6,,1.02,2,Niebla-Lluvia,322<br />
2014-1-25,19,14,8,12,10,8,94,77,39,1027,1025,1023,11,9,8,26,8,,0.00,4,Niebla,287<br />
2014-1-26,19,13,8,12,11,8,100,84,55,1027,1025,1023,18,9,2,19,8,,0.00,4,Niebla-Lluvia,296<br />
2014-1-27,19,13,7,14,9,7,100,77,41,1027,1024,1022,14,8,3,29,8,,0.00,4,,308<br />
2014-1-28,19,14,9,11,9,7,94,77,43,1027,1025,1023,18,10,8,63,13,,0.76,3,Lluvia,13<br />
2014-1-29,20,13,7,12,9,7,94,74,38,1027,1025,1022,18,11,8,23,10,,0.00,4,Niebla,12<br />
2014-1-30,20,15,10,26,11,7,100,77,43,1027,1024,1011,14,10,8,26,6,,0.00,5,,298<br />
2014-1-31,19,14,10,11,9,8,94,71,39,1026,1024,1022,18,10,7,26,8,,0.00,3,Niebla,244<br />
2014-2-1,24,14,4,12,9,4,100,79,42,1026,1025,1022,18,9,0,29,8,,0.00,4,Niebla,319<br />
2014-2-2,19,13,7,12,9,7,100,80,45,1027,1025,1023,18,10,0,26,10,,0.00,3,Niebla,358<br />
2014-2-3,20,14,8,11,9,7,100,75,43,1026,1025,1023,18,10,6,23,8,,0.00,3,,332<br />
2014-2-4,21,14,7,11,9,6,100,74,26,1027,1024,1022,11,9,5,27,8,,0.00,4,Niebla-Tormenta,290<br />
2014-2-5,20,13,7,11,9,6,100,76,38,1027,1025,1022,18,10,5,29,8,,0.00,4,Niebla,325<br />
2014-2-6,20,13,7,23,9,6,100,75,29,1027,1025,1012,14,10,4,26,6,,0.00,3,,313<br />
2014-2-7,20,14,8,11,9,5,100,80,36,1027,1025,1022,11,7,0,27,8,,1.02,5,Niebla-Lluvia-Tormenta,6<br />
2014-2-8,20,14,9,11,8,5,93,67,31,1027,1025,1022,18,11,10,27,10,,0.00,3,,97<br />
2014-2-9,19,12,5,13,9,6,100,80,30,1027,1025,1022,18,10,6,137,8,,14.99,4,Niebla-Lluvia-Tormenta,329<br />
2014-2-10,21,14,8,10,8,6,100,69,28,1027,1025,1023,18,11,2,26,11,,0.00,3,Niebla,92<br />
2014-2-11,21,16,10,12,8,5,87,65,27,1027,1025,1023,14,11,10,21,10,,0.00,4,,72<br />
2014-2-12,21,13,7,13,9,6,100,78,32,1027,1025,1022,18,11,8,23,8,,2.03,3,Niebla-Lluvia,9<br />
2014-2-13,19,13,8,13,10,7,94,81,49,1027,1024,989,14,9,5,21,8,,20.07,5,Lluvia-Tormenta,15<br />
2014-2-14,20,13,7,12,9,6,100,78,40,1029,1026,1024,18,10,5,24,11,,1.02,3,Lluvia-Tormenta,2<br />
2014-2-15,21,14,8,11,9,4,94,73,25,1029,1027,1024,14,10,6,27,11,,1.02,3,Lluvia-Tormenta,28<br />
2014-2-16,21,13,6,13,9,6,100,83,43,1028,1026,1023,18,9,6,34,8,,3.05,4,Niebla-Lluvia,341<br />
2014-2-17,18,12,7,12,10,7,100,80,48,1027,1025,1022,11,9,5,23,8,,0.00,4,Niebla-Lluvia-Tormenta,348<br />
2014-2-18,20,14,9,12,11,7,100,78,44,1028,1025,1022,11,9,6,26,8,,1.02,5,Lluvia-Tormenta,316<br />
2014-2-19,18,14,12,12,11,9,94,81,47,1027,1024,1022,11,9,7,14,6,,2.03,5,Lluvia,335<br />
2014-2-20,19,14,11,13,11,9,94,81,50,1026,1024,1022,14,9,3,24,6,,16.00,6,Lluvia-Tormenta,288<br />
2014-2-21,18,13,9,13,11,9,100,87,51,1027,1025,1023,11,8,2,206,13,,0.51,5,Niebla-Lluvia,11<br />
2014-2-22,19,15,11,13,11,9,100,83,56,1027,1025,1022,11,7,3,23,6,,2.03,6,Lluvia,330<br />
2014-2-23,19,14,8,13,10,7,100,79,33,1027,1025,1022,14,9,5,26,6,,0.00,5,Niebla-Lluvia-Tormenta,334<br />
2014-2-24,19,14,10,13,11,10,100,79,45,1027,1025,1022,14,9,6,19,6,,0.00,5,Lluvia,354<br />
2014-2-25,17,13,9,13,11,9,100,84,61,1027,1025,1023,16,9,6,19,6,,0.00,4,Niebla-Lluvia,307<br />
2014-2-26,18,14,11,13,11,10,94,84,63,1027,1025,1022,18,9,2,233,11,,0.00,5,Niebla,358<br />
2014-2-27,17,13,10,15,11,9,100,83,59,1027,1025,1023,18,9,5,93,10,,2.03,4,Niebla-Lluvia,355<br />
2014-2-28,18,14,11,13,12,11,100,87,50,1029,1026,1025,14,9,5,40,10,,12.95,6,Niebla-Lluvia-Tormenta,301<br />
2014-3-1,17,14,11,13,11,10,100,86,68,1029,1026,1023,11,9,5,26,8,,3.05,5,Lluvia-Tormenta,307<br />
2014-3-2,18,13,9,12,11,8,94,82,59,1027,1025,1022,18,10,8,21,8,,7.11,4,Niebla,290<br />
